countryname,country,goalname,goal,indicatorname,indicator,social_groupname,social_group,units,scale,frequency,date,value
Cameroon,7,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of marine areas protected to territorial waters (%),20269805,Total,20137105,,true,A,2002-01-01,0.4
Cameroon,7,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of marine areas protected to territorial waters (%),20269805,Total,20137105,,true,A,2003-01-01,0.4
Cameroon,7,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of marine areas protected to territorial waters (%),20269805,Total,20137105,,true,A,2004-01-01,0.4
Cameroon,7,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of marine areas protected to territorial waters (%),20269805,Total,20137105,,true,A,2005-01-01,0.4
Cameroon,7,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of marine areas protected to territorial waters (%),20269805,Total,20137105,,true,A,2007-01-01,0.4
Cameroon,7,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of marine areas protected to territorial waters (%),20269805,Total,20137105,,true,A,2008-01-01,0.4
Ghana,22,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Total,20137105,,true,A,1992-01-01,51.7
Ghana,22,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Total,20137105,,true,A,1999-01-01,39.6
Ghana,22,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Total,20137105,,true,A,2006-01-01,28.5
Nigeria,38,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,1990-01-01,40
Nigeria,38,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,1999-01-01,31
Nigeria,38,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,2000-01-01,34
Nigeria,38,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,2001-01-01,42
Nigeria,38,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,2003-01-01,37
Nigeria,38,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,2004-01-01,36.3
Nigeria,38,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,2005-01-01,36.3
Nigeria,38,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,2007-01-01,43.5
Nigeria,38,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,2008-01-01,58
Tunisia,50,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment-to-population ratio  (%),20265605,Men,20136605,,true,A,2001-01-01,61.6
Tunisia,50,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment-to-population ratio  (%),20265605,Men,20136605,,true,A,2007-01-01,61.3
Tunisia,50,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment-to-population ratio  (%),20265605,Men,20136605,,true,A,2008-01-01,61.4
Rwanda,39,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Proportion of children under 5 sleeping under insecticide treated bednets  (%),20268505,Total,20137105,,true,A,2001-01-01,6.5
Rwanda,39,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Proportion of children under 5 sleeping under insecticide treated bednets  (%),20268505,Total,20137105,,true,A,2006-01-01,28.5
Mauritania,32,Goal 5: Improve maternal health,KN.1000040,Contraceptive prevalence rate 15-49,20267705,Women,20136705,,true,A,2001-01-01,8
Mauritania,32,Goal 5: Improve maternal health,KN.1000040,Contraceptive prevalence rate 15-49,20267705,Women,20136705,,true,A,2007-01-01,9.3
Ethiopia,19,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment-to-population ratio  (%),20265605,Men,20136605,,true,A,2000-01-01,87
Ethiopia,19,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment-to-population ratio  (%),20265605,Men,20136605,,true,A,2005-01-01,88.6
Ethiopia,19,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment-to-population ratio  (%),20265605,Men,20136605,,true,A,2006-01-01,88.1
Ethiopia,19,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment-to-population ratio  (%),20265605,Men,20136605,,true,A,2007-01-01,88.5
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,1991-01-01,64.3
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,1992-01-01,66.2
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,1993-01-01,66.1
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,1994-01-01,65.9
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,1995-01-01,65.6
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,1996-01-01,65.3
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,1997-01-01,64.8
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,1998-01-01,64.3
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,1999-01-01,63.8
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,2000-01-01,63.2
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,2001-01-01,62.6
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,2002-01-01,62.1
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,2003-01-01,61.5
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,2004-01-01,60.9
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,2005-01-01,60.3
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,2006-01-01,59.8
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,2007-01-01,59.3
Benin,3,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Employment to population ratio 15-24 yrs (%),20265705,Total,20137105,,true,A,2008-01-01,58.9
Algeria,1,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of population using an improved sanitation facility (%),20270005,Total,20137105,,true,A,1991-01-01,88
Algeria,1,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of population using an improved sanitation facility (%),20270005,Total,20137105,,true,A,2006-01-01,92
Uganda,51,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Women,20136705,,true,A,2006-01-01,14.4
Seychelles,42,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Poverty gap ratio in (%),20265205,Total,20137105,,true,A,2000-01-01,0.5
Seychelles,42,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Poverty gap ratio in (%),20265205,Total,20137105,,true,A,2007-01-01,0.5
Mozambique,35,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of population using an improved sanitation facility (%),20270005,Total,20137105,,true,A,2000-01-01,27
Mozambique,35,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of population using an improved sanitation facility (%),20270005,Total,20137105,,true,A,2006-01-01,31
Mozambique,35,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of population using an improved sanitation facility (%),20270005,Total,20137105,,true,A,2008-01-01,19.3
Egypt,16,Goal 8: Develop a global partnership for development,KN.1000070,Debt service as percentage of exports of goods and services and net income from abroad,20270405,Total,20137105,,true,A,1990-01-01,23.7
Niger,37,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,1992-01-01,14.9
Niger,37,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,1998-01-01,17.6
Niger,37,Goal 5: Improve maternal health,KN.1000040,Proportion of births attended by skilled health personnel,20267605,Total,20137105,,true,A,2006-01-01,17.7
Guinea-Bissau,24,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Total,20137105,,true,A,1990-01-01,26
Guinea-Bissau,24,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Total,20137105,,true,A,2002-01-01,20.8
Guinea-Bissau,24,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Total,20137105,,true,A,2005-01-01,22
Guinea-Bissau,24,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Total,20137105,,true,A,2006-01-01,21.8
Guinea-Bissau,24,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Total,20137105,,true,A,2007-01-01,21.5
Guinea-Bissau,24,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Total,20137105,,true,A,2008-01-01,21.2
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,1999-01-01,28.9
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,2000-01-01,32
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,2001-01-01,35.7
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,2002-01-01,39.8
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,2003-01-01,44
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,2004-01-01,44.8
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,2005-01-01,45.9
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,2006-01-01,48
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,2007-01-01,53.5
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Total,20137105,,true,A,2008-01-01,58.6
Algeria,1,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Rural,20137005,,true,A,2002-01-01,11.2
Togo,49,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Total,20137105,,true,A,1998-01-01,25.1
Togo,49,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Total,20137105,,true,A,2005-01-01,26
Ethiopia,19,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Proportion of Tuberculosis cases treated with successe under DOTS (%),20269005,Total,20137105,,true,A,2000-01-01,80.1
Ethiopia,19,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Proportion of Tuberculosis cases treated with successe under DOTS (%),20269005,Total,20137105,,true,A,2005-01-01,78
Ethiopia,19,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Proportion of Tuberculosis cases treated with successe under DOTS (%),20269005,Total,20137105,,true,A,2006-01-01,84.1
Malawi,30,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,1990-01-01,0.06
Malawi,30,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2001-01-01,0.09
Malawi,30,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2002-01-01,0.06
Malawi,30,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2003-01-01,0.06
Malawi,30,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2004-01-01,0.06
Malawi,30,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2005-01-01,0.06
Malawi,30,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2006-01-01,0.08
Malawi,30,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2007-01-01,0.08
Mauritania,32,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of population using an improved sanitation facility (%),20270005,Total,20137105,,true,A,1990-01-01,20
Mauritania,32,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of population using an improved sanitation facility (%),20270005,Total,20137105,,true,A,2000-01-01,22
Mauritania,32,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of population using an improved sanitation facility (%),20270005,Total,20137105,,true,A,2006-01-01,24
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,"Literacy rate of 15-24 year-olds,  (%)",20266605,Men,20136605,,true,A,2005-01-01,42.9
Niger,37,Goal 2: Achieve universal primary education,KN.1000010,"Literacy rate of 15-24 year-olds,  (%)",20266605,Men,20136605,,true,A,2008-01-01,42.8
Cape Verde,8,Goal 2: Achieve universal primary education,KN.1000010,"Literacy rate of 15-24 year-olds,  (%)",20266605,Men,20136605,,true,A,1990-01-01,89.9
Cape Verde,8,Goal 2: Achieve universal primary education,KN.1000010,"Literacy rate of 15-24 year-olds,  (%)",20266605,Men,20136605,,true,A,2000-01-01,95
Cape Verde,8,Goal 2: Achieve universal primary education,KN.1000010,"Literacy rate of 15-24 year-olds,  (%)",20266605,Men,20136605,,true,A,2007-01-01,95.3
South Africa,45,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of marine areas protected to territorial waters (%),20269805,Total,20137105,,true,A,1994-01-01,0
Burkina Faso,5,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Total,20137105,,true,A,2000-01-01,44.4
Burkina Faso,5,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Total,20137105,,true,A,2008-01-01,42.2
Namibia,36,Goal 2: Achieve universal primary education,KN.1000010,"Literacy rate of 15-24 year-olds,  (%)",20266605,Women,20136705,,true,A,2002-01-01,76
Namibia,36,Goal 2: Achieve universal primary education,KN.1000010,"Literacy rate of 15-24 year-olds,  (%)",20266605,Women,20136705,,true,A,2006-01-01,66.9
Cameroon,7,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Men,20136605,,true,A,2006-01-01,78.9
Cameroon,7,Goal 2: Achieve universal primary education,KN.1000010,Net enrolment ratio in primary education (%),20266405,Men,20136605,,true,A,2008-01-01,82.1
Gambia,21,Goal 4: Reduce child mortality,KN.1000030,Proportion of 1 year-old children immunised against measles,20267405,Total,20137105,,true,A,1990-01-01,89
Gambia,21,Goal 4: Reduce child mortality,KN.1000030,Proportion of 1 year-old children immunised against measles,20267405,Total,20137105,,true,A,2000-01-01,87
